#{"t_start": 1605293783.2334216, "env_id": null}
r,l,t
0.8,46,2114.315046
0.8,24,2114.869602
0.9,62,2116.180996
0.8,140,2129.369113
0.8,149,2132.705296
0.8,94,2134.864834
0.8,29,2135.558773
0.8,23,2136.112361
0.9,401,2155.425541
0.8,21,2155.940795
0.8,24,2156.449832
0.8,34,2157.210533
0.8,22,2157.734845
0.8,191,2175.084926
2.0,21,2175.707952
0.8,27,2176.245556
0.8,131,2179.546655
0.9,401,2197.073623
2.0,21,2197.496107
0.9,60,2198.713628
2.0,20,2199.10974
0.8,23,2199.580017
0.8,21,2200.071686
2.0,21,2200.501755
0.8,63,2201.959716
0.8,21,2202.395484
2.0,20,2202.83837
0.8,22,2203.290018
0.8,23,2203.779289
0.8,72,2205.287968
2.0,22,2205.773805
2.0,21,2215.855929
0.8,198,2219.932503
0.8,22,2220.410344
0.8,23,2220.896562
2.0,21,2221.406549
0.9,133,2224.218218
0.8,94,2226.131912
0.8,22,2236.916558
2.0,20,2237.350507
2.0,22,2237.829745
0.8,81,2239.563627
0.8,21,2240.06501
2.0,20,2240.478076
2.0,22,2240.97808
0.8,159,2244.500602
0.8,140,2247.433172
0.9,334,2263.307589
0.8,41,2264.152932
0.8,21,2264.58858
0.9,50,2265.553153
2.0,21,2265.948055
2.0,20,2266.329746
2.0,21,2266.720171
2.0,20,2267.094106
2.0,20,2276.436992
0.8,21,2276.83897
0.8,22,2277.267442
0.8,21,2277.680563
2.0,27,2278.179348
0.8,40,2278.95677
2.0,20,2279.349397
2.0,21,2279.765679
0.8,21,2280.205226
0.8,119,2282.580908
0.8,42,2283.380286
2.0,20,2283.726396
2.0,21,2284.124372
2.0,20,2284.517267
2.0,21,2284.931088
0.8,99,2295.606505
2.0,22,2296.028855
0.8,20,2296.399844
2.0,21,2296.795284
2.0,38,2297.57549
2.0,20,2298.00643
0.8,60,2299.233086
0.8,20,2299.644233
0.8,21,2300.122318
2.0,21,2300.573413
2.0,20,2300.999315
2.0,21,2301.421353
2.0,20,2301.831204
0.8,186,2314.339815
0.8,65,2315.648572
2.0,21,2316.105795
2.0,21,2316.551073
0.8,21,2316.985231
0.8,23,2317.489609
2.0,22,2317.939421
2.0,22,2318.409388
2.0,20,2318.772432
0.8,52,2319.784534
2.0,20,2320.160257
2.0,21,2320.565299
2.0,22,2320.988388
0.8,20,2321.379028
0.8,20,2321.795205
0.8,20,2322.17915
2.0,22,2322.620298
2.0,21,2323.041791
0.8,196,2335.552615
2.0,21,2335.981728
2.0,19,2336.379704
0.9,114,2338.519061
2.0,22,2338.964063
2.0,20,2339.358312
0.8,21,2339.771228
2.0,20,2340.178225
0.8,24,2340.685251
2.0,20,2341.139012
0.8,116,2351.90278
0.8,248,2356.646962
0.8,142,2359.360526
0.0,306,2374.042648
0.9,102,2376.217575
0.8,153,2379.367574
0.8,63,2389.271565
0.8,61,2390.47818
0.8,28,2391.040121
0.8,20,2391.457705
0.8,23,2391.922254
0.8,192,2395.590868
2.0,21,2395.992846
0.9,211,2408.855479
2.0,22,2409.31341
0.9,29,2409.92375
2.0,20,2410.416251
0.8,23,2410.894407
0.8,29,2411.557134
0.8,24,2412.047473
0.8,36,2412.822654
0.8,199,2416.856179
0.8,24,2417.387971
0.8,55,2418.496312
0.8,25,2427.923826
0.9,140,2430.823137
2.0,20,2431.285307
2.0,20,2431.702688
0.8,93,2433.418335
0.8,76,2434.773805
0.8,24,2435.217771
2.0,21,2435.617433
2.0,21,2436.014883
0.8,30,2436.609437
0.8,22,2437.040625
0.8,159,2448.672637
2.0,46,2449.533187
2.0,21,2449.896395
2.0,21,2450.268772
2.0,20,2450.645814
0.8,48,2451.609091
2.0,20,2452.038136
0.8,22,2452.529853
2.0,21,2452.914108
2.0,20,2453.345954
0.8,24,2453.807584
0.8,21,2454.208468
